Detector,Night,CallsPerNight,StartDateTime,EndDateTime,RecordingHours,Status,CallsPerHour
LPE,2025-10-04,0,10/4/2025 18:00,10/5/2025 7:00,13,Success,0
LPE,2025-10-05,82,10/5/2025 18:00,10/6/2025 7:00,13,Success,6.3076923076923075
LPE,2025-10-06,47,10/6/2025 18:00,10/7/2025 7:00,13,Success,3.6153846153846154
LPE,2025-10-07,15,10/7/2025 18:00,10/8/2025 7:00,13,Success,1.1538461538461537
LPE,2025-10-08,1,10/8/2025 18:00,10/9/2025 7:00,13,Success,0.07692307692307693
LPE,2025-10-09,5,10/9/2025 18:00,10/10/2025 7:00,13,Success,0.38461538461538464
LPE,2025-10-10,20,10/10/2025 18:00,10/11/2025 7:00,13,Success,1.5384615384615385
LPE,2025-10-11,3,10/11/2025 18:00,10/12/2025 7:00,13,Success,0.23076923076923078
LPE,2025-10-12,0,10/12/2025 18:00,10/13/2025 7:00,13,Success,0
LPE,2025-10-13,19,10/13/2025 18:00,10/14/2025 7:00,13,Success,1.4615384615384615
LPE,2025-10-14,2,10/14/2025 18:00,10/15/2025 7:00,13,Success,0.15384615384615385
LPE,2025-10-15,2,10/15/2025 18:00,10/16/2025 7:00,13,Success,0.15384615384615385
LPE,2025-10-16,27,10/16/2025 18:00,10/17/2025 7:00,13,Success,2.076923076923077
LPE,2025-10-17,15,10/17/2025 18:00,10/18/2025 7:00,13,Success,1.1538461538461537
LPE,2025-10-18,11,10/18/2025 18:00,10/19/2025 7:00,13,Success,0.8461538461538461
LPE,2025-10-19,3,10/19/2025 18:00,10/20/2025 7:00,13,Success,0.23076923076923078
LPE,2025-10-20,1,10/20/2025 18:00,10/21/2025 7:00,13,Success,0.07692307692307693
LPE,2025-10-21,0,10/21/2025 18:00,10/22/2025 7:00,13,Success,0
LPE,2025-10-22,3,10/22/2025 18:00,10/23/2025 7:00,13,Success,0.23076923076923078
LPE,2025-10-23,2,10/23/2025 18:00,10/24/2025 7:00,13,Success,0.15384615384615385
LPE,2025-10-24,6,10/24/2025 17:30,10/25/2025 7:00,13.5,Partial,0.4444444444444444
LPE,2025-10-25,3,10/25/2025 17:30,10/26/2025 7:00,13.5,Partial,0.2222222222222222
LPE,2025-10-26,7,10/26/2025 17:30,10/27/2025 7:00,13.5,Partial,0.5185185185185185
LPE,2025-10-27,2,10/27/2025 17:30,10/28/2025 7:00,13.5,Partial,0.14814814814814814
LPE,2025-10-28,2,10/28/2025 17:30,10/29/2025 7:00,13.5,Partial,0.14814814814814814
LPE,2025-10-29,6,10/29/2025 17:30,10/30/2025 7:00,13.5,Partial,0.4444444444444444
LPE,2025-10-30,5,10/30/2025 17:30,10/31/2025 7:00,13.5,Partial,0.37037037037037035
LPE,2025-10-31,5,10/31/2025 17:30,11/1/2025 7:00,13.5,Partial,0.37037037037037035
LPI,2025-10-04,20,10/4/2025 18:00,10/5/2025 7:00,13,Success,1.5384615384615385
LPI,2025-10-05,99,10/5/2025 18:00,10/6/2025 7:00,13,Success,7.615384615384615
LPI,2025-10-06,44,10/6/2025 18:00,10/7/2025 7:00,13,Success,3.3846153846153846
LPI,2025-10-07,2,10/7/2025 18:00,10/8/2025 7:00,13,Success,0.15384615384615385
LPI,2025-10-08,1,10/8/2025 18:00,10/9/2025 7:00,13,Success,0.07692307692307693
LPI,2025-10-09,1,10/9/2025 18:00,10/10/2025 7:00,13,Success,0.07692307692307693
LPI,2025-10-10,8,10/10/2025 18:00,10/11/2025 7:00,13,Success,0.6153846153846154
LPI,2025-10-11,2,10/11/2025 18:00,10/12/2025 7:00,13,Success,0.15384615384615385
LPI,2025-10-12,0,10/12/2025 18:00,10/13/2025 1:43,7.716666666666667,Partial,0
LPI,2025-10-13,0,NA,NA,0,Fail,NA
LPI,2025-10-14,0,NA,NA,0,Fail,NA
LPI,2025-10-15,0,NA,NA,0,Fail,NA
LPI,2025-10-16,0,NA,NA,0,Fail,NA
LPI,2025-10-17,0,NA,NA,0,Fail,NA
LPI,2025-10-18,0,NA,NA,0,Fail,NA
LPI,2025-10-19,0,NA,NA,0,Fail,NA
LPI,2025-10-20,0,NA,NA,0,Fail,NA
LPI,2025-10-21,1,10/21/2025 18:00,10/22/2025 7:00,13,Success,0.07692307692307693
LPI,2025-10-22,1,10/22/2025 18:00,10/23/2025 7:00,13,Success,0.07692307692307693
LPI,2025-10-23,3,10/23/2025 18:00,10/24/2025 7:00,13,Success,0.23076923076923078
LPI,2025-10-24,12,10/24/2025 17:30,10/25/2025 7:00,13.5,Partial,0.8888888888888888
LPI,2025-10-25,0,10/25/2025 17:30,10/26/2025 7:00,13.5,Partial,0
LPI,2025-10-26,9,10/26/2025 17:30,10/27/2025 7:00,13.5,Partial,0.6666666666666666
LPI,2025-10-27,6,10/27/2025 17:30,10/28/2025 7:00,13.5,Partial,0.4444444444444444
LPI,2025-10-28,2,10/28/2025 17:30,10/29/2025 7:00,13.5,Partial,0.14814814814814814
LPI,2025-10-29,3,10/29/2025 17:30,10/30/2025 7:00,13.5,Partial,0.2222222222222222
LPI,2025-10-30,6,10/30/2025 17:30,10/31/2025 7:00,13.5,Partial,0.4444444444444444
LPI,2025-10-31,7,10/31/2025 17:30,11/1/2025 7:00,13.5,Partial,0.5185185185185185
LPO,2025-10-04,0,NA,NA,0,Fail,NA
LPO,2025-10-05,0,NA,NA,0,Fail,NA
LPO,2025-10-06,0,NA,NA,0,Fail,NA
LPO,2025-10-07,0,NA,NA,0,Fail,NA
LPO,2025-10-08,0,NA,NA,0,Fail,NA
LPO,2025-10-09,0,NA,NA,0,Fail,NA
LPO,2025-10-10,0,NA,NA,0,Fail,NA
LPO,2025-10-11,0,NA,NA,0,Fail,NA
LPO,2025-10-12,1,10/12/2025 23:00,10/13/2025 0:00,1,Partial,1
LPO,2025-10-13,0,NA,NA,0,Fail,NA
LPO,2025-10-14,0,NA,NA,0,Fail,NA
LPO,2025-10-15,0,NA,NA,0,Fail,NA
LPO,2025-10-16,0,NA,NA,0,Fail,NA
LPO,2025-10-17,34,10/17/2025 18:00,10/17/2025 23:17,5.283333333333333,Partial,6.435331230283912
LPO,2025-10-18,0,NA,NA,0,Fail,NA
LPO,2025-10-19,2,10/19/2025 18:00,10/19/2025 19:08,1.1333333333333333,Partial,1.7647058823529411
LPO,2025-10-20,0,NA,NA,0,Fail,NA
LPO,2025-10-21,0,10/19/2025 18:00,10/19/2025 19:08,1.1333333333333333,Partial,0
LPO,2025-10-22,0,NA,NA,0,Fail,NA
LPO,2025-10-23,13,10/23/2025 18:00,10/24/2025 7:00,13,Success,1
LPO,2025-10-24,26,10/24/2025 17:30,10/25/2025 7:00,13.5,Partial,1.9259259259259258
LPO,2025-10-25,3,10/25/2025 17:30,10/26/2025 7:00,13.5,Partial,0.2222222222222222
LPO,2025-10-26,11,10/26/2025 17:30,10/27/2025 7:00,13.5,Partial,0.8148148148148148
LPO,2025-10-27,10,10/27/2025 17:30,10/28/2025 7:00,13.5,Partial,0.7407407407407407
LPO,2025-10-28,10,10/28/2025 17:30,10/29/2025 7:00,13.5,Partial,0.7407407407407407
LPO,2025-10-29,11,10/29/2025 17:30,10/30/2025 7:00,13.5,Partial,0.8148148148148148
LPO,2025-10-30,13,10/30/2025 17:30,10/31/2025 7:00,13.5,Partial,0.9629629629629629
LPO,2025-10-31,14,10/31/2025 17:30,11/1/2025 7:00,13.5,Partial,1.037037037037037
MCE,2025-10-04,0,NA,NA,0,Fail,NA
MCE,2025-10-05,229,10/5/2025 18:00,10/6/2025 7:00,13,Success,17.615384615384617
MCE,2025-10-06,94,10/6/2025 18:00,10/7/2025 7:00,13,Success,7.230769230769231
MCE,2025-10-07,22,10/7/2025 18:00,10/8/2025 1:44,7.733333333333333,Partial,2.8448275862068964
MCE,2025-10-08,0,NA,NA,0,Fail,NA
MCE,2025-10-09,4,10/9/2025 18:00,10/10/2025 7:00,13,Success,0.3076923076923077
MCE,2025-10-10,19,10/10/2025 18:00,10/11/2025 7:00,13,Success,1.4615384615384615
MCE,2025-10-11,2,10/11/2025 18:00,10/12/2025 1:48,7.8,Partial,0.25641025641025644
MCE,2025-10-12,0,NA,NA,0,Fail,NA
MCE,2025-10-13,0,NA,NA,0,Fail,NA
MCE,2025-10-14,2,10/14/2025 18:00,10/15/2025 7:00,13,Success,0.15384615384615385
MCE,2025-10-15,1,10/15/2025 18:00,10/16/2025 7:00,13,Success,0.07692307692307693
MCE,2025-10-16,4,10/16/2025 18:00,10/17/2025 7:00,13,Success,0.3076923076923077
MCE,2025-10-17,51,10/17/2025 18:00,10/18/2025 7:00,13,Success,3.923076923076923
MCE,2025-10-18,32,10/18/2025 18:00,10/19/2025 7:00,13,Success,2.4615384615384617
MCE,2025-10-19,0,10/19/2025 18:00,10/20/2025 7:00,13,Success,0
MCE,2025-10-20,0,10/20/2025 18:00,10/21/2025 7:00,13,Success,0
MCE,2025-10-21,1,10/21/2025 18:00,10/22/2025 7:00,13,Success,0.07692307692307693
MCE,2025-10-22,2,10/22/2025 18:00,10/23/2025 7:00,13,Success,0.15384615384615385
MCE,2025-10-23,2,10/23/2025 18:00,10/24/2025 7:00,13,Success,0.15384615384615385
MCE,2025-10-24,3,10/24/2025 17:30,10/25/2025 7:00,13.5,Partial,0.2222222222222222
MCE,2025-10-25,0,10/25/2025 17:30,10/26/2025 7:00,13.5,Partial,0
MCE,2025-10-26,0,NA,NA,0,Fail,NA
MCE,2025-10-27,0,NA,NA,0,Fail,NA
MCE,2025-10-28,0,NA,NA,0,Fail,NA
MCE,2025-10-29,0,NA,NA,0,Fail,NA
MCE,2025-10-30,1,10/30/2025 17:30,10/31/2025 7:00,13.5,Partial,0.07407407407407407
MCE,2025-10-31,9,10/31/2025 17:30,11/1/2025 7:00,13.5,Partial,0.6666666666666666
MCI,2025-10-04,0,NA,NA,0,Fail,NA
MCI,2025-10-05,78,10/5/2025 18:00,10/6/2025 7:00,13,Success,6
MCI,2025-10-06,13,10/6/2025 18:00,10/7/2025 7:00,13,Success,1
MCI,2025-10-07,0,10/7/2025 18:00,10/8/2025 1:44,7.733333333333333,Partial,0
MCI,2025-10-08,0,NA,NA,0,Fail,NA
MCI,2025-10-09,0,10/9/2025 18:00,10/10/2025 7:00,13,Success,0
MCI,2025-10-10,0,10/10/2025 18:00,10/11/2025 7:00,13,Success,0
MCI,2025-10-11,0,10/11/2025 18:00,10/12/2025 0:48,6.8,Partial,0
MCI,2025-10-12,0,NA,NA,0,Fail,NA
MCI,2025-10-13,0,NA,NA,0,Fail,NA
MCI,2025-10-14,0,10/14/2025 18:00,10/15/2025 7:00,13,Success,0
MCI,2025-10-15,0,10/15/2025 18:00,10/16/2025 7:00,13,Success,0
MCI,2025-10-16,0,10/16/2025 18:00,10/17/2025 1:44,7.733333333333333,Partial,0
MCI,2025-10-17,6,10/17/2025 18:00,10/18/2025 7:00,13,Success,0.46153846153846156
MCI,2025-10-18,0,10/18/2025 18:00,10/19/2025 7:00,13,Success,0
MCI,2025-10-19,0,10/19/2025 18:00,10/20/2025 7:00,13,Success,0
MCI,2025-10-20,0,10/20/2025 18:00,10/21/2025 7:00,13,Success,0
MCI,2025-10-21,0,10/21/2025 18:00,10/22/2025 7:00,13,Success,0
MCI,2025-10-22,0,NA,NA,0,Fail,NA
MCI,2025-10-23,0,NA,NA,0,Fail,NA
MCI,2025-10-24,0,10/24/2025 17:30,10/25/2025 7:00,13.5,Partial,0
MCI,2025-10-25,0,10/25/2025 17:30,10/26/2025 7:00,13.5,Partial,0
MCI,2025-10-26,0,10/26/2025 17:30,10/27/2025 7:00,13.5,Partial,0
MCI,2025-10-27,0,10/27/2025 17:30,10/28/2025 7:00,13.5,Partial,0
MCI,2025-10-28,0,10/28/2025 17:30,10/29/2025 7:00,13.5,Partial,0
MCI,2025-10-29,1,10/29/2025 17:30,10/30/2025 7:00,13.5,Partial,0.07407407407407407
MCI,2025-10-30,0,10/30/2025 17:30,10/31/2025 7:00,13.5,Partial,0
MCI,2025-10-31,1,10/31/2025 17:30,11/1/2025 7:00,13.5,Partial,0.07407407407407407
MCO,2025-10-04,0,NA,NA,0,Fail,NA
MCO,2025-10-05,0,NA,NA,0,Fail,NA
MCO,2025-10-06,0,NA,NA,0,Fail,NA
MCO,2025-10-07,0,NA,NA,0,Fail,NA
MCO,2025-10-08,0,NA,NA,0,Fail,NA
MCO,2025-10-09,2,10/9/2025 18:00,10/10/2025 7:00,13,Success,0.15384615384615385
MCO,2025-10-10,17,10/10/2025 18:00,10/11/2025 7:00,13,Success,1.3076923076923077
MCO,2025-10-11,0,10/11/2025 18:00,10/12/2025 1:55,7.916666666666667,Partial,0
MCO,2025-10-12,0,NA,NA,0,Fail,NA
MCO,2025-10-13,0,NA,NA,0,Fail,NA
MCO,2025-10-14,3,10/14/2025 18:00,10/15/2025 7:00,13,Success,0.23076923076923078
MCO,2025-10-15,3,10/15/2025 18:00,10/16/2025 7:00,13,Success,0.23076923076923078
MCO,2025-10-16,6,10/16/2025 18:00,10/17/2025 1:47,7.783333333333333,Partial,0.7708779443254818
MCO,2025-10-17,23,10/17/2025 18:00,10/18/2025 7:00,13,Success,1.7692307692307692
MCO,2025-10-18,22,10/18/2025 18:00,10/19/2025 7:00,13,Success,1.6923076923076923
MCO,2025-10-19,0,10/19/2025 18:00,10/20/2025 7:00,13,Success,0
MCO,2025-10-20,0,10/20/2025 18:00,10/21/2025 7:00,13,Success,0
MCO,2025-10-21,0,10/21/2025 18:00,10/22/2025 7:00,13,Success,0
MCO,2025-10-22,0,10/22/2025 18:00,10/23/2025 7:00,13,Success,0
MCO,2025-10-23,0,10/23/2025 18:00,10/24/2025 7:00,13,Success,0
MCO,2025-10-24,0,10/24/2025 17:30,10/25/2025 7:00,13.5,Partial,0
MCO,2025-10-25,0,10/25/2025 17:30,10/26/2025 7:00,13.5,Partial,0
MCO,2025-10-26,5,10/26/2025 17:30,10/27/2025 7:00,13.5,Partial,0.37037037037037035
