Detector,DateTime_local,Date_local,Time_local,Hour_local,auto_id,match_ratio,fc,sc,offset,margin,alternate_1,alternate_2,alternate_3,manual_id,n,pulses,dur,files,channel,fmax,fmin,duration,detector_id,source_file,folder,in_file,out_file_fs,out_file_zc,indir,outdir,matching,fmean,tbc,fk,tk,s1,tc,qual,review_orgid,DateTime_UTC,species,Night
MCE,2025-10-17T00:04:10Z,2025-10-16,19:04:10,19,LASCIN,0.667,23.647,12.77,0,0.28492,NA,NA,NA,NA,6,6,11.612,1,0,25.868,21.991,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_000410T.WAV,24A04F085FDF19C0_20251017_000410_000,NA,NA,MCE,4,23.821,584.871,24.043,5.315,70.102,7.007,1.83,NA,2025-10-17T00:04:10Z,LASCIN,2025-10-16
MCE,2025-10-17T01:22:20Z,2025-10-16,20:22:20,20,LASCIN,0.429,24.77,10.66,0,0.144812,NA,NA,NA,NA,7,7,7.935,1,0,29.469,24.265,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_012220T.WAV,24A04F085FDF19C0_20251017_012220_000,NA,NA,MCE,3,26.266,890.52,25.311,5.195,63.508,7.258,2.3,NA,2025-10-17T01:22:20Z,LASCIN,2025-10-16
MCE,2025-10-17T01:22:34Z,2025-10-16,20:22:34,20,LASNOC,0.6,24.455,18.79,0,0.149056,NA,NA,NA,NA,10,10,5.661,1,0,27.22,24.069,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_012234T.WAV,24A04F085FDF19C0_20251017_012234_000,NA,NA,MCE,6,25.43,338.887,25.736,2.227,55.53,5.039,2.23,NA,2025-10-17T01:22:34Z,LASNOC,2025-10-16
MCE,2025-10-17T01:55:28Z,2025-10-16,20:55:28,20,LASCIN,0.278,24.211,10.59,0,0.108448,NA,NA,NA,NA,19,18,7.131,1,0,26.898,23.733,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_015528T.WAV,24A04F085FDF19C0_20251017_015528_000,NA,NA,MCE,5,24.742,279.851,24.713,2.945,22.13,5.418,6.22,NA,2025-10-17T01:55:28Z,LASCIN,2025-10-16
MCE,2025-10-23T02:21:36Z,2025-10-22,21:21:36,21,LASCIN,0.375,24.224,9.8,0,0.11776,NA,NA,NA,NA,9,8,5.236,1,0,25.517,23.83,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 23\20251023,24A04F085FDF19C0_20251023_022136T.WAV,24A04F085FDF19C0_20251023_022136_000,NA,NA,MCE,3,24.544,774.457,24.622,2.265,31.291,4.145,2.09,NA,2025-10-23T02:21:36Z,LASCIN,2025-10-22
MCE,2025-10-23T11:32:02Z,2025-10-23,06:32:02,6,LASBOR,0.6,30.922,4.21,0,0.059108,NA,NA,NA,NA,5,5,15.104,1,0,31.36,30.29,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 23\20251023,24A04F085FDF19C0_20251023_113202T.WAV,24A04F085FDF19C0_20251023_113202_000,NA,NA,MCE,3,30.931,201.73,30.997,2.79,-5.5,8.312,3.2,NA,2025-10-23T11:32:02Z,LASBOR,2025-10-22
LPO,2025-10-23T23:57:54Z,2025-10-23,18:57:54,18,LASCIN,0.5,23.846,23.52,0,0.155846,NA,NA,NA,NA,4,4,5.476,1,0,26.297,23.368,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251023,24E144036484A442_20251023_235754T.WAV,24E144036484A442_20251023_235754_000,NA,NA,LPO,2,24.545,243.574,24.534,2.556,72.964,4.211,1.03,NA,2025-10-23T23:57:54Z,LASCIN,2025-10-23
LPO,2025-10-23T23:58:08Z,2025-10-23,18:58:08,18,LASCIN,0.842,22.268,17.06,0,0.217312,NA,NA,NA,NA,19,19,13.65,1,0,28.662,21.416,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251023,24E144036484A442_20251023_235808T.WAV,24E144036484A442_20251023_235808_000,NA,NA,LPO,16,23.648,333.233,23.336,7.079,144.647,11.072,3.34,NA,2025-10-23T23:58:08Z,LASCIN,2025-10-23
MCE,2025-10-24T01:19:06Z,2025-10-23,20:19:06,20,EPTFUS,0.625,24.237,17.47,0,0.126042,NA,NA,NA,NA,17,16,9.768,1,0,29.141,23.732,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 26\20251024,24A04F085FDF19C0_20251024_011906T.WAV,24A04F085FDF19C0_20251024_011906_000,NA,NA,MCE,10,25.481,468.638,25.428,4.012,86.578,8.409,3.02,NA,2025-10-24T01:19:06Z,EPTFUS,2025-10-23
LPO,2025-10-24T08:54:48Z,2025-10-24,03:54:48,3,LASNOC,0.368,24.748,16.5,0,0.108837,NA,NA,NA,NA,19,19,10.356,1,0,31.689,23.939,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251024,24E144036484A442_20251024_085448T.WAV,24E144036484A442_20251024_085448_000,NA,NA,LPO,7,26.215,424.323,25.844,4.556,170.555,8.445,2.25,NA,2025-10-24T08:54:48Z,LASNOC,2025-10-23
