Detector,species,n_calls,pct_of_detector
LPE,LASNOC,149,50.7
LPE,EPTFUS,82,27.9
LPE,LASCIN,49,16.7
LPE,LASBOR,12,4.1
LPE,MYOLUC,2,0.7
LPI,LASNOC,158,69.6
LPI,LASCIN,37,16.3
LPI,EPTFUS,32,14.1
LPO,LASCIN,110,74.3
LPO,EPTFUS,19,12.8
LPO,LASNOC,13,8.8
LPO,LASBOR,5,3.4
LPO,PERSUB,1,0.7
MCE,LASNOC,319,66.7
MCE,LASCIN,98,20.5
MCE,LASBOR,34,7.1
MCE,EPTFUS,25,5.2
MCE,MYOLUC,1,0.2
MCE,PERSUB,1,0.2
MCI,LASNOC,71,71.7
MCI,EPTFUS,15,15.2
MCI,LASCIN,10,10.1
MCI,MYOLUC,2,2
MCI,LASBOR,1,1
MCO,LASCIN,75,71.4
MCO,LASNOC,16,15.2
MCO,EPTFUS,13,12.4
MCO,LASBOR,1,1
SME,EPTFUS,3,75
SME,LASNOC,1,25
SMI,LASCIN,16,72.7
SMI,EPTFUS,3,13.6
SMI,LASNOC,3,13.6
SMO,LASCIN,62,68.1
SMO,LASNOC,16,17.6
SMO,EPTFUS,11,12.1
SMO,LASBOR,2,2.2
